"OPCUNO";"OPADRT";"OPADID";"OPCUNM";"OPCUA1";"OPCUA2";"OPCUA3";"OPCUA4";"OPTOWN";"OPPONO";"OPECAR";"OPMODL";"OPPHNO";"OPCSCD";"OPVRNO";"OPFVDT";"OPLVDT";"OPBCKO";"OPPADL";"OKDIVI";"OKCUNO";"OKSTAT";"OKCUCL";"OKCUTP";"OKADID";"OKSMCD";"OKCUCD";"OKDTFM";"OKSDST";"OKPYNO";"OKLHCD";"OKBLCD";"OKCFC1";"OKCFC2";"OKCFC3";"OKCFC4";"OKCFC5";"OKCFC6";"OKCFC7";"OKCFC8";"OKCFC9";"OKCFC0";"OKFACI";"OKEMAL";"OCCUNO";"OCASCD";"OCFDAT";"OCTDAT"
"70101917";"1";"75014";"GO SPORT PARIS CHATILLON";"21/23 AVENUE LA PORTE DE CHATILLON";"TEL/0156539970";"75014 PARIS";"";"PARIS";"75014";"75";"CAM";"0476854434";"FR";"00510695158";"0";"99999999";"1";"1";"510";"70101917";"20";"LAC";"0";"";"RADASEB";"EUR";"DMY";"HRS";"70138917";"FR";"0";"N7";".00";"12";"732";"1";"";".00";"SPO";"752";"E";"";"g.bourcheix@mail.go-sport.fr";"70101917";"CWFR";"20070201";"20230101"
"70101917";"1";"";"GO SPORT THOIRY I9";"LIEU DIT LE PREJAQUET";"CENTRE CIAL VAL THOIRY";"01710 THOIRY";"";"THOIRY";"01710";"01";"CAM";"0450991110";"FR";"";"0";"99999999";"1";"1";"510";"70101917";"20";"LAC";"0";"";"RADASEB";"EUR";"DMY";"HRS";"70138917";"FR";"0";"N7";".00";"12";"732";"1";"";".00";"SPO";"752";"E";"";"g.bourcheix@mail.go-sport.fr";"70101917";"CWFR";"20070201";"20230101"
"70101924";"1";"";"BB CYCLE E7R";"M. BOUVARD BENOIT";"ZAC DE LA TREFILERIE";"01800 MEXIMIEUX";"";"MEXIMIEUX";"01800";"01";"CAM";"0469185098";"FR";"21799377585";"0";"99999999";"1";"1";"510";"70101924";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"732";"";"";".00";"TRA";"755";"E";"";"benoitbouvard@bbcycle.fr";"70101924";"POSTE";"20160101";"20210101"
"70101924";"1";"";"BB CYCLE E7R";"M. BOUVARD BENOIT";"ZAC DE LA TREFILERIE";"01800 MEXIMIEUX";"";"MEXIMIEUX";"01800";"01";"CAM";"0469185098";"FR";"21799377585";"0";"99999999";"1";"1";"510";"70101924";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"732";"";"";".00";"TRA";"755";"E";"";"benoitbouvard@bbcycle.fr";"70101924";"CWFR";"20160101";"20230101"
"70102002";"1";"";"SPORTS PASSION I9R";".";"47 AVENUE DE CHATEAU THIERRY";"02400 BRASLES";"";"BRASLES";"02400";"02";"CAM";"0323694597";"FR";"55500602529";"0";"99999999";"1";"1";"510";"70102002";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"";"";".00";"TRA";"LIB";"T";"";"sports.passion02@orange.fr";"70102002";"CWFR";"20071105";"20200801"
"70102002";"1";"";"SPORTS PASSION I9R";".";"47 AVENUE DE CHATEAU THIERRY";"02400 BRASLES";"";"BRASLES";"02400";"02";"CAM";"0323694597";"FR";"55500602529";"0";"99999999";"1";"1";"510";"70102002";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"";"";".00";"TRA";"LIB";"T";"";"sports.passion02@orange.fr";"70102002";"POSTE";"20150101";"20210101"
"70102005";"1";"";"RS CYCLES E6R";".";"102 RUE DE LA CHAUSSEE";"02300 CHAUNY";"";"CHAUNY";"02300";"02";"CAM";"0364146781";"FR";"01528145758";"0";"99999999";"1";"1";"510";"70102005";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N7";"75.00";"12";"710";"1";"";"70.00";"TRA";"TRA";"E";"";"rscycles7400@gmail.com";"70102005";"POSTE";"20120801";"20210101"
"70102007";"1";"";"CYCLES DU RETZ I8E7R";".";"1 RUE DU MARCHOIS";"02600 VILLERS COTTERETS";"";"VILLERS COTTERETS";"02600";"02";"CAM";"0323726132";"FR";"69530955418";"0";"99999999";"1";"1";"510";"70102007";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"T";"";"cyclesduretz@orange.fr";"70102007";"POSTE";"20120801";"20210101"
"70102007";"1";"";"CYCLES DU RETZ I8E7R";".";"1 RUE DU MARCHOIS";"02600 VILLERS COTTERETS";"";"VILLERS COTTERETS";"02600";"02";"CAM";"0323726132";"FR";"69530955418";"0";"99999999";"1";"1";"510";"70102007";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"T";"";"cyclesduretz@orange.fr";"70102007";"CWFR";"20120801";"20210101"
"70102008";"1";"";"VELO ATTITUDES I9E6";".";"1134 av GEORGES POMPIDOU";"02000 LAON";"";"LAON";"02000";"02";"CAM";"0323202929";"FR";"34791808744";"0";"99999999";"1";"1";"510";"70102008";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N7";"250.00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"megacycles02000@wanadoo.fr";"70102008";"CWFR";"20130401";"20230101"
"70102008";"1";"";"VELO ATTITUDES I9E6";".";"1134 av GEORGES POMPIDOU";"02000 LAON";"";"LAON";"02000";"02";"CAM";"0323202929";"FR";"34791808744";"0";"99999999";"1";"1";"510";"70102008";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N7";"250.00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"megacycles02000@wanadoo.fr";"70102008";"POSTE";"20180101";"20210101"
"70102013";"1";"";"ATELIER DU CYCLE EIRL E8";"M. FREY CHRISTOPHE";"35 RUE JEAN MOULIN AULNOIS";"02400 ESSOMES SUR MARNE";"";"ESSOMES SUR MARNE";"02400";"02";"CAM";"0323830385";"FR";"87830228748";"0";"99999999";"1";"1";"510";"70102013";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"";".00";"12";"710";"1";"";".00";"TRA";"TRA";"E";"";"cf-atelierducycle@orange.fr";"70102013";"CWFR";"20060601";"20230101"
"70102080";"1";"";"CD MOTOS I9R";"MR VIN";"40,AV DU GENERAL DE GAULLE";"02270 CRECY SUR SERRE";"";"CRECY SUR SERRE";"02270";"02";"CAM";"0323806620";"FR";"68404966806";"0";"99999999";"1";"1";"510";"70102080";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N2";"70.00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cdmotos20@orange.fr";"70102080";"POSTE";"20110101";"20210101"
"70102080";"1";"";"CD MOTOS I9R";"MR VIN";"40,AV DU GENERAL DE GAULLE";"02270 CRECY SUR SERRE";"";"CRECY SUR SERRE";"02270";"02";"CAM";"0323806620";"FR";"68404966806";"0";"99999999";"1";"1";"510";"70102080";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N2";"70.00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cdmotos20@orange.fr";"70102080";"CWFR";"20040101";"20211231"
"70102090";"1";"";"REBEROT CYCLES I8E6R";".";"18 AVENUE DE LA GARE";"02290 MONTIGNY LENGRAIN";"";"MONTIGNY LENGRAIN";"02290";"02";"CAM";"0323555964";"FR";"69441356615";"0";"99999999";"1";"1";"510";"70102090";"20";"LTR";"0";"";"RLAUJEA";"EUR";"DMY";"MET";"";"FR";"0";"N1";"72.00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cycles-reberot@wanadoo.fr";"70102090";"POSTE";"20110101";"20210101"
"70103013";"1";"";"ELECTROCYCLES SERVICES I0 E8";"MR MICHEL MELIN";"2 RUE DU VIEUX BOURG";"03140 MONESTIER";"";"MONESTIER";"03140";"03";"CAM";"0671478306";"FR";"57827963497";"0";"99999999";"1";"1";"510";"70103013";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"";"710";"1";"";".00";"TRA";"LIB";"";"";"michbatrem@laposte.net";"70103013";"F/GIT";"20010310";"20210101"
"70103013";"1";"";"ELECTROCYCLES SERVICES I0 E8";"MR MICHEL MELIN";"2 RUE DU VIEUX BOURG";"03140 MONESTIER";"";"MONESTIER";"03140";"03";"CAM";"0671478306";"FR";"57827963497";"0";"99999999";"1";"1";"510";"70103013";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"";"710";"1";"";".00";"TRA";"LIB";"";"";"michbatrem@laposte.net";"70103013";"CWFR";"20060601";"20230101"
"70103013";"1";"";"ELECTROCYCLES SERVICES I0 E8";"MR MICHEL MELIN";"2 RUE DU VIEUX BOURG";"03140 MONESTIER";"";"MONESTIER";"03140";"03";"CAM";"0671478306";"FR";"57827963497";"0";"99999999";"1";"1";"510";"70103013";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"";"710";"1";"";".00";"TRA";"LIB";"";"";"michbatrem@laposte.net";"70103013";"F/PGT";"20110101";"20210101"
"70103014";"1";"";"GALLEGO CYCLES SARL I0 E8R";".";"46B AVENUE ALBERT THOMAS";"03100 MONTLUCON";"";"MONTLUCON";"03100";"03";"CAM";"0470050470";"FR";"20537502643";"0";"99999999";"1";"1";"510";"70103014";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";"100.00";"12";"710";"1";"";"250.00";"TRA";"LIB";"T";"";"gallegocycles@orange.fr";"70103014";"POSTE";"20110901";"20210101"
"70103014";"1";"";"GALLEGO CYCLES SARL I0 E8R";".";"46B AVENUE ALBERT THOMAS";"03100 MONTLUCON";"";"MONTLUCON";"03100";"03";"CAM";"0470050470";"FR";"20537502643";"0";"99999999";"1";"1";"510";"70103014";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";"100.00";"12";"710";"1";"";"250.00";"TRA";"LIB";"T";"";"gallegocycles@orange.fr";"70103014";"CWFR";"20110901";"20230101"
"70103014";"1";"";"GALLEGO CYCLES SARL I0 E8R";".";"46B AVENUE ALBERT THOMAS";"03100 MONTLUCON";"";"MONTLUCON";"03100";"03";"CAM";"0470050470";"FR";"20537502643";"0";"99999999";"1";"1";"510";"70103014";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";"100.00";"12";"710";"1";"";"250.00";"TRA";"LIB";"T";"";"gallegocycles@orange.fr";"70103014";"F/PGT";"20110901";"20201031"
"70103063";"1";"";"LALOY LAJOIX GERARD I9E8R";".";"PLACE FRESNAYE";"03800 GANNAT";"";"GANNAT";"03800";"03";"CAM";"0470902252";"FR";"00383992542";"0";"99999999";"1";"1";"510";"70103063";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N2";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"gerard.laloy-lajoix@laposte.net";"70103063";"POSTE";"20140901";"20210101"
"70103063";"1";"";"LALOY LAJOIX GERARD I9E8R";".";"PLACE FRESNAYE";"03800 GANNAT";"";"GANNAT";"03800";"03";"CAM";"0470902252";"FR";"00383992542";"0";"99999999";"1";"1";"510";"70103063";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N2";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"gerard.laloy-lajoix@laposte.net";"70103063";"CWFR";"20080201";"20230101"
"70103070";"1";"";"FONDARD ROBERT I0 E8R";"CYCL'ESPACE";"168 RTE DE LYON";"03400 YZEURE";"";"YZEURE";"03400";"03";"CAM";"0470462261";"FR";"48482216694";"0";"99999999";"1";"1";"510";"70103070";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cycle.fondard@gmail.com";"70103070";"CWFR";"20080101";"20230101"
"70103070";"1";"";"FONDARD ROBERT I0 E8R";"CYCL'ESPACE";"168 RTE DE LYON";"03400 YZEURE";"";"YZEURE";"03400";"03";"CAM";"0470462261";"FR";"48482216694";"0";"99999999";"1";"1";"510";"70103070";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cycle.fondard@gmail.com";"70103070";"POSTE";"20110101";"20210101"
"70103070";"1";"";"FONDARD ROBERT I0 E8R";"CYCL'ESPACE";"168 RTE DE LYON";"03400 YZEURE";"";"YZEURE";"03400";"03";"CAM";"0470462261";"FR";"48482216694";"0";"99999999";"1";"1";"510";"70103070";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cycle.fondard@gmail.com";"70103070";"F/GIT";"20011015";"20210101"
"70103070";"1";"";"FONDARD ROBERT I0 E8R";"CYCL'ESPACE";"168 RTE DE LYON";"03400 YZEURE";"";"YZEURE";"03400";"03";"CAM";"0470462261";"FR";"48482216694";"0";"99999999";"1";"1";"510";"70103070";"20";"LTR";"0";"";"RADASEB";"EUR";"DMY";"MET";"";"FR";"0";"N1";".00";"12";"710";"1";"";".00";"TRA";"LIB";"E";"";"cycle.fondard@gmail.com";"70103070";"F/BIA";"20160101";"20210101"
"70103901";"1";"";"TRONCAIS BRICOLAGE E7";"M. JACQUET MICHEL";"LE BOURG. 2 RUE PETIT PARIS";"03360 SAINT BONNET TRONCAIS";"";"SAINT BONNET TRONCAI";"03360";"03";"CAM";"0470061293";"FR";"21778990416";"0";"99999999";"1";"1";"510";"70103901";"20";"LAL";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"724";"";"";".00";"TRA";"750";"E";"";"entreprisejacquet@wanadoo.fr";"70103901";"F/GIT";"20020114";"20230101"
"70103901";"1";"";"TRONCAIS BRICOLAGE E7";"M. JACQUET MICHEL";"LE BOURG. 2 RUE PETIT PARIS";"03360 SAINT BONNET TRONCAIS";"";"SAINT BONNET TRONCAI";"03360";"03";"CAM";"0470061293";"FR";"21778990416";"0";"99999999";"1";"1";"510";"70103901";"20";"LAL";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"724";"";"";".00";"TRA";"750";"E";"";"entreprisejacquet@wanadoo.fr";"70103901";"CWFR";"20090101";"20230101"
"70103905";"1";"";"L'ATELIER DU CYCLE E8R";"MR GROLIER J.F.";"13 PLACE LOUIS BLANC";"03300 CUSSET";"";"CUSSET";"03300";"03";"CAM";"0470986622";"FR";"53351479449";"0";"99999999";"1";"1";"510";"70103905";"20";"LAF";"0";"";"RADASEB";"EUR";"DMY";"HRS";"";"FR";"0";"N7";".00";"12";"732";"";"";".00";"TRA";"755";"E";"";"atelierducycle@aliceadsl.fr";"70103905";"POSTE";"20120701";"20210101"
